Model,Accuracy (%),Time (s)
kNN,56.52173913043478,1.2338039875030518
LR,84.1079460269865,0.28374695777893066
SVM,97.30134932533733,2.26743483543396
DT,80.35982008995502,0.13893795013427734
Stacking,83.05847076461768,120.87417817115784
AdaBoost,65.81709145427287,7.160056114196777
GBDT,88.45577211394303,18.95405602455139
RF,84.8575712143928,10.106447219848633
